City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Burley,US,2022-11-23 22:28:59,42.5357,-113.7928,42.76,49,0,21.85
248,Lata,PT,2022-11-23 22:28:59,40.1629,-8.3327,56.07,92,80,3.65
249,Grimshaw,CA,2022-11-23 22:29:00,56.1834,-117.6027,37.02,65,75,10.36
250,Singaraja,ID,2022-11-23 22:29:01,-8.112,115.0882,79.52,81,99,1.92
251,Viransehir,TR,2022-11-23 22:29:01,37.2353,39.7631,56.07,49,0,6.73
252,Montes Claros,BR,2022-11-23 22:29:02,-16.735,-43.8617,67.78,100,75,6.91
253,Tirumullaivasal,IN,2022-11-23 22:29:02,11.2333,79.8333,75.25,88,88,5.61
254,Biak,ID,2022-11-23 22:29:03,-0.9131,122.8766,76.3,78,100,1.79
255,Quatre Cocos,MU,2022-11-23 22:29:03,-20.2078,57.7625,76.08,80,9,9.17
256,Portland,US,2022-11-23 22:26:40,45.5234,-122.6762,54.68,90,100,5.75
257,Norman Wells,CA,2022-11-23 22:29:04,65.282,-126.8329,15.84,86,75,0.0
258,College,US,2022-11-23 22:29:05,64.8569,-147.8028,14.9,89,75,0.0
259,Guntakal,IN,2022-11-23 22:29:05,15.1667,77.3833,70.09,93,73,6.8
260,Kropotkin,RU,2022-11-23 22:29:06,45.4375,40.5756,47.93,80,99,7.36
261,Kita,ML,2022-11-23 22:29:06,13.0349,-9.4895,76.26,20,94,4.43
262,Padang,ID,2022-11-23 22:29:07,-0.9492,100.3543,75.25,87,100,2.48
263,Halifax,CA,2022-11-23 22:26:07,44.6453,-63.5724,37.89,61,75,11.5
264,Luderitz,NA,2022-11-23 22:29:07,-26.6481,15.1594,60.82,83,0,10.33
265,Benguela,AO,2022-11-23 22:29:08,-12.5763,13.4055,77.02,86,22,1.83
266,Boa Vista,BR,2022-11-23 22:29:08,2.8197,-60.6733,82.38,74,75,2.3
267,Yaan,NG,2022-11-23 22:30:09,7.3833,8.5667,76.01,25,3,4.05
268,Feijo,BR,2022-11-23 22:30:09,-8.1642,-70.3536,72.18,94,98,2.66
269,Brae,GB,2022-11-23 22:30:10,60.3964,-1.353,48.18,91,100,29.28
270,Jishou,CN,2022-11-23 22:30:10,28.3167,109.7167,56.52,90,91,2.06
271,Rajpur,IN,2022-11-23 22:30:11,22.3,74.35,63.45,41,57,5.7
272,Una,IN,2022-11-23 22:30:12,20.8167,71.0333,69.82,39,3,8.79
273,Alihe,CN,2022-11-23 22:30:12,50.5667,123.7167,-7.67,99,35,0.63
274,Praia Da Vitoria,PT,2022-11-23 22:30:13,38.7333,-27.0667,61.75,94,20,13.18
275,Maceio,BR,2022-11-23 22:30:13,-9.6658,-35.7353,74.64,88,0,6.91
276,Sao Jose Da Coroa Grande,BR,2022-11-23 22:30:14,-8.8978,-35.1478,77.47,77,73,8.12
277,Nabire,ID,2022-11-23 22:30:14,-3.3667,135.4833,76.33,89,100,2.21
278,Chapais,CA,2022-11-23 22:25:19,49.7834,-74.8492,10.18,92,19,0.29
279,Adre,TD,2022-11-23 22:30:15,13.4667,22.2,68.99,30,43,8.75
280,Barrow,US,2022-11-23 22:30:15,71.2906,-156.7887,8.62,78,100,6.91
281,Talara,PE,2022-11-23 22:30:16,-4.5772,-81.2719,74.16,64,0,12.66
